;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;interval_mean_year_diff;interval_std_year_diff;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff;satisfaction;wish_to_change
39;106;20;5;7;8;1;3;12;6.7;5.15;18.0;14.0;22.0;9.0;1.0;0.37;0.33;0.45;0.34;0.41;0.35;-0.09;-0.04;-0.09;0.0;0.13;0.14;0.32999999999999996;0.15000000000000002;0.019999999999999962;0.10999999999999999;-0.09;0.07;-0.18;;
40;107;25;4;16;5;1;2;9;12.5;6.52;12.0;8.0;-7.0;-9.0;0.99;0.37;0.34;0.36;0.32;0.36;0.34;-0.01;-0.0;-0.02;-0.020000000000000018;0.08000000000000002;0.009999999999999953;0.010000000000000009;-0.010000000000000009;0.07;0.0;0.04;-0.0;0.019999999999999997;3.17;2.83
41;108;58;20;19;19;2;4;14;14.5;24.28;10.0;14.0;-2.0;-3.0;0.72;0.52;0.35;0.58;0.35;0.54;0.34;-0.06;-0.02;-0.0;0.010000000000000009;-0.020000000000000018;-0.020000000000000018;-0.029999999999999916;-0.02999999999999997;-0.08999999999999997;-0.019999999999999962;-0.010000000000000009;0.02;0.03;;
42;109;16;2;10;4;1;2;7;8.0;29.5;19.0;5.0;7.0;4.0;0.84;0.63;0.37;0.62;0.38;0.65;0.37;-0.0;-0.02;0.01;-0.010000000000000009;0.040000000000000036;0.0;-0.050000000000000044;0.040000000000000036;0.030000000000000027;0.010000000000000009;0.08;0.01;0.06;3.33;2.67
43;110;40;13;14;13;2;4;13;10.0;19.2;16.0;11.0;4.0;6.0;0.73;0.54;0.35;0.55;0.37;0.53;0.36;-0.01;0.01;-0.04;0.08999999999999997;-0.040000000000000036;0.010000000000000009;-0.25999999999999995;0.040000000000000036;-0.09999999999999998;-0.010000000000000009;0.16;0.07;0.18;3.33;3.11
44;111;128;35;54;39;4;8;19;16.0;19.89;10.0;7.0;1.0;1.0;0.83;0.5;0.36;0.48;0.36;0.52;0.36;-0.03;-0.02;-0.0;-0.04999999999999993;0.0;0.0;-0.02999999999999997;-0.07;-0.010000000000000009;0.0;0.06;0.009999999999999998;0.02;3.38;2.0
45;112;84;33;25;26;5;11;17;7.6;26.35;14.0;11.0;6.0;-1.0;0.68;0.54;0.35;0.62;0.34;0.59;0.34;-0.08;-0.06;-0.02;-0.029999999999999916;-0.030000000000000027;-0.010000000000000009;-0.18;0.02999999999999997;-0.020000000000000018;0.0;0.09999999999999999;-0.009999999999999995;0.08;3.55;2.62
46;113;78;24;32;22;2;4;18;19.5;7.95;8.0;7.0;-4.0;-3.0;0.99;0.53;0.36;0.68;0.36;0.53;0.36;-0.07;0.0;-0.07;-0.010000000000000009;-0.10999999999999999;-0.04999999999999999;;;-0.10999999999999999;-0.04999999999999999;;0.0;;3.86;1.59
47;114;69;20;27;22;1;4;13;17.2;3.14;8.0;6.0;-2.0;-2.0;1.0;0.5;0.14;0.47;0.12;0.49;0.13;0.01;0.01;-0.01;0.0;0.040000000000000036;-0.03;;;0.04999999999999999;-0.020000000000000018;;-0.01;;3.63;2.38
48;115;22;2;14;6;1;2;9;11.0;9.09;14.0;11.0;6.0;7.0;0.98;0.5;0.41;0.6;0.39;0.52;0.4;-0.17;-0.01;-0.16;0.040000000000000036;0.14999999999999997;0.0;0.020000000000000018;0.02999999999999997;0.13999999999999996;-0.009999999999999953;0.06;0.02;;3.43;1.67
