;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
161;756;129.0;8;2;4;2;1;1;8;8.38;3.75;2.33;10.0;8.0;0.91;0.56;0.38;0.67;0.32;0.63;0.33;-0.11;-0.07;-0.05
162;758;129.0;7;3;3;1;1;1;7;10.0;4.0;;12.0;8.0;1.0;0.56;0.41;0.7;0.29;0.56;0.41;-0.03;0.0;-0.03
163;759;129.0;8;2;4;2;2;1;7;8.75;3.5;;10.0;9.0;0.97;0.64;0.38;0.69;0.31;0.66;0.35;-0.08;-0.03;0.01
164;762;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
165;763;130.0;5;1;3;1;1;1;5;5.4;3.2;1.8;16.0;13.0;1.0;0.37;0.29;0.41;0.29;0.37;0.29;-0.04;0.0;-0.04
166;765;130.0;4;1;2;1;1;1;4;3.5;3.0;2.0;21.0;12.0;1.0;0.53;0.35;0.53;0.33;0.53;0.35;-0.01;0.0;-0.01
167;766;130.0;3;0;2;1;1;1;3;3.33;2.67;2.67;32.0;36.0;1.0;0.43;0.3;0.5;0.3;0.43;0.3;-0.02;0.0;-0.02
168;770;117.0;6;0;0;6;1;1;6;8.83;4.0;2.0;14.0;10.0;1.0;0.47;0.36;0.46;0.35;0.46;0.37;0.0;0.0;0.0
169;771;117.0;6;0;0;6;1;1;6;23.67;3.67;2.0;14.0;10.0;0.88;0.5;0.35;0.5;0.34;0.6;0.34;-0.14;-0.03;
170;772;117.0;6;1;3;2;1;1;6;16.17;4.0;1.5;14.0;7.0;0.86;0.46;0.37;0.64;0.38;0.48;0.35;-0.17;-0.03;-0.15
171;774;117.0;6;1;3;2;1;1;6;9.33;4.0;1.67;14.0;5.0;0.95;0.56;0.37;0.66;0.36;0.54;0.35;-0.08;0.01;-0.06
172;781;112.0;4;1;2;1;1;1;4;24.75;3.75;2.67;15.0;12.0;0.66;0.6;0.37;0.73;0.36;0.69;0.35;-0.14;-0.09;-0.03
173;782;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
174;783;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
175;784;112.0;6;2;3;1;1;1;3;27.5;3.17;2.33;10.0;6.0;0.83;0.58;0.37;0.66;0.36;0.57;0.36;-0.07;0.01;-0.09
176;785;112.0;8;0;5;3;2;1;6;32.12;3.75;3.0;7.0;8.0;0.53;0.6;0.35;0.62;0.34;0.64;0.33;-0.02;-0.04;0.03
177;786;112.0;8;0;5;3;2;1;6;19.12;3.0;2.86;7.0;8.0;0.67;0.45;0.38;0.64;0.32;0.59;0.34;-0.19;-0.15;-0.06
178;787;112.0;8;3;5;0;1;1;8;30.12;3.88;2.83;10.0;7.0;0.7;0.6;0.35;0.72;0.33;0.63;0.34;-0.13;-0.02;-0.1
179;788;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
180;795;111.0;8;2;3;3;1;1;8;22.5;3.33;2.5;8.0;6.0;0.99;0.61;0.32;0.59;0.35;0.62;0.32;0.0;-0.0;0.0
181;796;111.0;8;2;3;3;1;1;7;17.25;3.12;2.33;8.0;6.0;0.94;0.52;0.35;;;0.54;0.36;;-0.03;
182;797;111.0;7;1;5;1;1;1;7;22.29;3.33;2.0;11.0;5.0;0.89;0.42;0.37;0.47;0.37;0.44;0.37;-0.05;-0.02;-0.03
183;798;111.0;6;6;0;0;1;1;5;27.33;3.25;2.67;13.0;9.0;0.91;;;;;;;;;
184;799;111.0;8;2;4;2;1;1;7;19.62;3.5;1.67;9.0;3.0;0.73;0.42;0.4;0.45;0.4;0.5;0.41;-0.04;-0.09;0.05
185;800;111.0;8;2;4;2;1;1;7;16.12;3.75;1.33;9.0;3.0;0.71;0.51;0.4;0.52;0.38;0.53;0.39;-0.03;-0.02;-0.03
186;801;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
187;802;111.0;8;2;3;3;1;1;7;13.75;3.25;2.2;8.0;7.0;0.88;0.5;0.33;;;0.52;0.34;;-0.01;
188;804;103.0;3;2;0;1;1;1;3;7.33;3.0;1.0;28.0;2.0;0.92;0.44;0.39;0.63;0.37;0.58;0.34;-0.19;-0.15;-0.05
189;805;103.0;3;2;0;1;1;1;3;3.0;3.33;3.0;28.0;1.0;0.89;0.5;0.41;0.37;0.22;0.25;0.25;0.13;0.25;-0.12
190;807;103.0;2;1;1;0;1;1;2;11.0;2.5;3.5;14.0;;0.68;0.23;0.33;0.53;0.37;0.36;0.35;-0.3;-0.13;-0.17
191;808;103.0;3;2;1;0;1;1;2;11.0;2.33;3.67;7.0;10.0;0.82;0.36;0.37;0.71;0.32;0.57;0.32;-0.34;-0.21;-0.14
192;812;115.0;5;0;4;1;1;1;5;7.6;3.25;1.67;10.0;8.0;0.93;0.51;0.44;0.75;0.37;0.57;0.44;-0.25;-0.04;-0.21
193;813;115.0;5;0;4;1;1;1;4;7.4;3.67;1.67;10.0;3.0;1.0;0.33;0.38;0.4;0.4;0.32;0.37;-0.09;0.0;-0.07
194;816;116.0;5;0;5;0;1;1;3;4.8;2.8;2.8;12.0;11.0;1.0;0.49;0.24;0.47;0.24;0.47;0.24;0.02;0.02;0.0
195;817;116.0;5;0;5;0;1;1;3;9.2;2.8;2.8;12.0;11.0;1.0;0.53;0.34;0.5;0.35;0.52;0.35;0.02;0.01;0.01
196;818;114.0;9;3;4;2;1;1;8;3.0;3.67;1.78;10.0;8.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
197;820;114.0;9;3;4;2;1;1;8;4.0;3.67;3.0;9.0;7.0;1.0;0.54;0.35;0.44;0.29;0.5;0.32;0.1;0.04;0.02
198;821;114.0;9;3;4;2;1;1;8;3.78;3.78;2.5;9.0;6.0;1.0;0.36;0.22;0.42;0.17;0.36;0.22;-0.06;0.0;-0.06
199;823;114.0;8;3;3;2;1;1;8;2.88;3.38;2.25;11.0;7.0;1.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
200;826;113.0;11;2;7;2;2;1;8;6.27;3.73;1.73;7.0;9.0;1.0;0.6;0.38;0.67;0.35;0.6;0.38;-0.08;0.0;-0.08
201;827;113.0;6;1;4;1;1;1;6;10.0;4.0;1.67;14.0;9.0;1.0;0.53;0.43;0.6;0.42;0.53;0.43;-0.09;0.0;-0.09
202;829;113.0;5;1;3;1;1;1;5;7.0;4.0;1.2;15.0;10.0;1.0;0.71;0.36;0.77;0.34;0.71;0.36;-0.06;0.0;-0.06
203;830;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
204;835;123.0;5;3;2;0;1;1;4;9.4;3.6;1.4;16.0;14.0;1.0;0.61;0.33;0.66;0.34;0.61;0.33;-0.05;0.0;-0.05
205;836;123.0;5;3;2;0;1;1;5;12.6;3.6;1.4;16.0;13.0;0.86;0.54;0.41;0.59;0.41;0.49;0.41;-0.05;0.04;-0.1
206;838;123.0;7;3;4;0;1;1;7;9.14;3.43;1.71;11.0;9.0;1.0;0.52;0.39;0.49;0.39;0.52;0.39;0.05;0.0;0.05
207;839;123.0;7;3;4;0;1;1;7;8.57;3.43;1.29;12.0;9.0;0.98;0.39;0.35;0.48;0.36;0.4;0.34;-0.09;-0.01;-0.07
208;841;125.0;6;2;3;1;1;1;6;15.83;4.0;2.33;12.0;12.0;0.8;0.52;0.41;0.69;0.38;0.61;0.39;-0.15;-0.1;-0.11
209;842;125.0;5;2;2;1;1;1;5;20.2;4.0;2.4;17.0;20.0;0.91;0.6;0.34;0.57;0.36;0.61;0.34;0.03;-0.01;0.04
210;844;125.0;8;2;3;3;1;1;8;14.38;3.62;1.38;8.0;3.0;0.96;0.47;0.35;0.52;0.39;0.48;0.35;-0.06;-0.01;-0.05
211;845;125.0;9;3;3;3;1;1;8;20.22;3.89;1.67;7.0;4.0;0.98;0.53;0.33;0.54;0.37;0.52;0.33;-0.02;0.0;-0.02
212;849;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
213;850;119.0;3;1;2;0;1;1;3;23.0;;;38.0;45.0;1.0;0.51;0.39;0.67;0.31;0.51;0.39;-0.21;0.0;-0.21
214;852;119.0;3;1;1;1;1;1;3;22.33;2.67;2.67;28.0;13.0;0.68;0.59;0.38;0.62;0.35;0.76;0.32;-0.02;-0.17;0.18
215;853;119.0;3;0;2;1;1;1;3;21.0;2.0;3.0;32.0;1.0;0.78;0.65;0.38;0.8;0.3;0.74;0.34;-0.12;-0.09;-0.05
216;855;119.0;8;0;6;2;1;1;5;9.75;;;11.0;4.0;1.0;0.49;0.05;0.47;0.08;0.47;0.11;0.01;0.0;0.03
217;856;119.0;8;1;5;2;1;1;7;15.5;;;9.0;5.0;0.47;0.11;0.1;0.45;0.15;0.26;0.08;-0.06;-0.11;-0.01
218;857;119.0;4;2;2;0;1;1;3;15.75;;;25.0;16.0;0.76;0.5;0.34;0.5;0.35;0.47;0.31;0.0;0.03;-0.06
219;858;119.0;3;1;2;0;1;1;2;11.0;;;28.0;11.0;0.68;0.52;0.39;0.47;0.39;0.47;0.4;-0.12;0.04;-0.14
220;861;119.0;4;1;3;0;1;1;4;23.75;4.0;1.5;16.0;21.0;0.84;0.42;0.33;0.49;0.36;0.44;0.35;-0.06;-0.02;-0.06
221;862;119.0;4;1;3;0;1;1;4;22.25;4.0;1.5;17.0;23.0;0.95;0.31;0.31;0.46;0.32;0.32;0.31;-0.15;-0.02;-0.12
222;866;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
223;867;118.0;5;2;2;1;1;1;5;24.4;3.0;3.2;12.0;7.0;0.6;0.51;0.35;0.53;0.29;0.55;0.32;-0.02;-0.04;0.02
224;869;118.0;4;0;4;0;1;1;3;23.0;3.67;3.25;12.0;9.0;0.63;0.5;0.35;0.61;0.39;0.58;0.38;-0.1;-0.07;-0.03
225;870;118.0;3;0;3;0;1;1;3;23.0;4.0;3.0;17.0;14.0;0.68;0.51;0.32;0.61;0.38;0.56;0.35;-0.1;-0.04;-0.05
226;872;118.0;4;2;1;1;1;1;4;21.5;3.75;1.25;9.0;3.0;0.76;0.48;0.41;0.58;0.41;0.53;0.41;-0.1;-0.05;-0.05
227;873;118.0;4;2;1;1;1;1;4;20.5;3.75;1.25;10.0;5.0;0.84;0.49;0.41;0.58;0.41;0.53;0.41;-0.09;-0.04;-0.05
228;875;118.0;8;2;4;2;1;1;8;11.5;3.75;2.62;12.0;8.0;0.99;0.69;0.39;0.67;0.37;0.68;0.39;0.03;0.01;0.02
229;876;118.0;9;2;3;4;1;1;9;21.22;3.78;2.89;11.0;6.0;0.97;0.64;0.36;0.6;0.4;0.64;0.37;0.08;-0.0;0.08
230;878;118.0;2;0;2;0;1;1;2;9.0;;;3.0;;1.0;0.44;0.28;0.65;0.37;0.44;0.28;-0.2;0.0;
